acute (spammers),183.82.117.1,183.82.117.255
akamai (spammers),104.108.110.1,104.108.110.255
AWS (spammers),52.53.163.1,52.53.163.255
belgian spam (spammers),185.159.220.1,185.159.220.255
Benchmark (spammers),216.4.238.1,216.4.238.255
Burnea (spammers),92.118.38.1,92.118.38.255
China (spammers),117.85.1.1,117.85.255.255
China 16 (spammers),27.8.0.0,27.31.255.255
china Spam (spammers),220.181.12.1,220.181.12.255
china spammers (spammers),42.231.163.0,42.231.163.255
ChinaNet (spammers),60.167.82.0,60.167.82.255
CNSpammers (spammers),123.52.1.1,123.52.255.255
Constant Contact (spammers),208.75.120.1,208.75.123.255
Crunchbase sendGrid Sharedx (spammers),167.89.1.1,167.89.127.255
DataGalaxy (spammers),202.38.172.1,202.38.175.255
eecs.umich.edu (spammers),198.108.66.0,198.108.66.255
eigen spams (spammers),202.162.237.1,202.162.237.255
estoxyspams (spammers),37.49.227.1,37.49.227.255
GCore labs (spammers),92.223.79.1,92.223.79.255
gmailAPi (spammers),209.85.167.196,209.85.167.196
GmailApiX (spammers),209.85.219.1,209.85.219.255
HackerEarth (spammers),149.72.157.1,149.72.157.255
Hackers (spammers),208.100.26.1,208.100.26.255
Henan Spammers (spammers),42.231.161.1,42.231.161.255
hinaUnionSEO (spammers),123.11.215.0,123.11.215.255
ibiind.com (spammers),38.98.207.1,38.98.207.255
IndiaMartSpam (spammers),95.217.1.1,95.217.40.255
indiaMartSpamers (spammers),91.192.40.1,91.192.40.255
indo-german.com (spammers),202.154.162.1,202.154.162.255
inSpams (spammers),198.2.142.1,198.2.142.255
JohnSpam (spammers),178.62.40.1,178.62.40.255
MailServer Hacking Attempts,176.223.1.70,176.223.1.70
MailServer Hacking Attempts,84.241.41.244,84.241.41.244
MailServer Hacking Attempts,23.129.64.101,23.129.64.101
MailServer Hacking Attempts,201.76.8.58,201.76.8.58
MailServer Hacking Attempts,117.91.246.36,117.91.246.36
MailServer Hacking Attempts,84.241.53.175,84.241.53.175
MailServer Hacking Attempts,114.6.94.82,114.6.94.82
MailServer Hacking Attempts,103.57.80.47,103.57.80.47
MailServer Hacking Attempts,37.49.225.55,37.49.225.55
MailServer Hacking Attempts,45.231.120.114,45.231.120.114
MailServer Hacking Attempts,200.5.32.201,200.5.32.201
MailServer Hacking Attempts,37.49.225.197,37.49.225.197
MailServer Hacking Attempts,160.20.147.222,160.20.147.222
MailServer Hacking Attempts,41.170.80.78,41.170.80.78
MailServer Hacking Attempts,131.0.220.82,131.0.220.82
MailServer Hacking Attempts,77.72.82.124,77.72.82.124
MailServer Hacking Attempts,114.230.106.122,114.230.106.122
MailServer Hacking Attempts,85.163.0.54,85.163.0.54
MailServer Hacking Attempts,195.116.38.186,195.116.38.186
MailServer Hacking Attempts,46.44.157.210,46.44.157.210
MailServer Hacking Attempts,89.189.128.32,89.189.128.32
